RM,Spring Wheat_mean,Spring Wheat_std,Clusters_3
257,25.93070588,10.12660449,0
259,28.11552941,10.41592742,0
260,26.39870588,9.616332187,0
261,24.54564706,10.16019866,0
271,33.10082353,12.97373769,0
273,31.94211765,10.91530305,0
274,29.028,10.17584041,0
275,27.55719264,9.713102616,0
276,28.45329412,9.768713834,0
277,27.59352941,8.380793903,0
279,24.93073375,9.811731888,0
280,25.52611765,11.06885174,0
281,25.89541176,11.02287001,0
282,24.52870588,10.93516791,0
283,23.14552941,11.18252266,0
284,23.33588235,11.15554115,0
285,23.59964706,9.463319971,0
286,25.96952941,9.62616745,0
287,27.99270588,10.9375631,0
288,24.44305882,9.720394126,0
290,26.91717647,10.35067948,0
292,23.7288397,10.65112141,0
301,31.6126044,11.27831411,0
303,32.07670588,12.87502495,0
304,31.33847059,10.72006857,0
305,28.46282353,10.08993011,0
307,27.56329412,9.590867728,0
308,28.10364706,11.19645786,0
309,29.23658824,13.23723046,0
310,27.13094118,13.04740766,0
312,26.45611765,10.38166746,0
313,24.74411765,10.47995721,0
314,24.11654762,10.70195517,0
315,24.39517647,12.43341644,0
316,25.76317647,12.30189051,0
317,24.35988235,9.991313667,0
318,26.44117647,10.97959671,0
319,27.86258824,9.988397573,0
320,25.49223529,9.612589386,0
321,24.70788235,10.60605702,0
322,21.37282353,10.08499187,0
331,31.00364706,11.46692042,0
333,33.23705882,13.08274407,0
334,31.52482353,11.79635483,0
335,29.24,9.854571455,0
336,29.99588235,9.844358826,0
337,29.03435294,11.93327036,0
338,31.30294118,13.1079069,0
339,27.71423529,10.84995659,0
340,25.58447059,10.77721853,0
341,26.18494118,10.74036851,0
342,26.90752941,10.76788036,0
343,25.36294118,12.09015733,0
344,24.20470588,10.3330968,0
345,25.42517647,12.66190618,0
346,25.96517647,12.02892433,0
347,24.98788235,12.07030349,0
349,25.604,12.02639163,0
350,26.72976471,12.56563776,0
351,26.91905882,11.23302641,0
352,25.00882353,11.88293168,0
366,31.01411765,10.87262709,1
367,31.80505882,11.3736217,1
368,33.00352941,14.0813742,1
369,32.50058824,13.96936566,1
370,28.71117647,11.55513568,1
371,26.88364706,11.17150785,1
372,24.81529412,10.56801909,1
373,26.53505882,10.59827205,1
376,24.87352941,10.65202336,1
377,26.11047059,12.99092851,1
378,23.33482353,11.63713449,1
379,25.92376471,13.03544097,1
380,27.07776471,13.42279461,1
381,27.79882353,12.33734723,1
382,26.44576471,11.52712478,1
394,31.29416615,12.10346015,1
395,31.33411765,10.45681918,1
397,28.36458824,11.27131394,1
398,31.26929412,12.41266651,1
399,31.87588235,12.03565134,1
400,30.85764706,10.87415992,1
401,29.55752941,11.11646012,1
402,27.17482353,9.77000373,1
403,29.61282353,13.49491056,1
404,30.86682353,14.84813578,1
405,26.166,11.9713229,1
406,25.11894118,12.0196381,1
409,27.74011765,13.42883256,1
410,29.01894118,14.26046466,1
411,27.00635294,12.07795836,1
426,29.98988235,12.57720515,1
427,32.83458824,12.67343355,1
428,33.04423529,11.09641012,1
429,33.62435294,10.76764758,1
430,30.14729412,10.68159726,1
431,31.87129412,12.23193836,1
434,27.94494118,13.56019592,1
435,24.76823529,11.10141928,1
436,26.82247059,11.91647398,1
437,27.85341176,12.76243134,1
438,27.84105882,12.84790793,1
439,29.41988235,14.90921004,1
440,29.58482353,13.48959472,1
442,30.99282353,12.57106093,1
456,31.28035294,11.31280947,1
457,31.16482353,10.58055231,1
458,32.66564706,11.06405672,1
459,30.81094118,10.69960253,1
460,31.58023529,10.94926927,1
461,27.43223529,10.0017931,1
463,27.44094118,11.82076146,1
464,29.42611765,13.96411899,1
466,26.48517647,12.34847297,1
467,26.454,12.1651406,1
468,29.20082353,13.74581107,1
469,26.84026763,14.49169071,1
470,28.26332199,11.44169821,1
471,30.53270588,14.16136212,1
472,31.81941176,13.6869568,1
486,31.22917647,11.690171,1
487,31.07117647,10.99882671,1
488,29.89529412,9.894100526,1
490,30.46882353,10.31498129,1
491,29.628,11.23356787,1
493,31.93258824,12.77515149,1
494,29.728,12.10058773,1
496,30.04729412,15.00620034,1
497,26.94117647,13.8750531,1
498,25.93895735,14.71768072,1
499,28.36670588,15.15270645,1
501,28.51764706,13.55368072,1
502,28.76988235,12.58168013,1
520,28.73462057,11.08840508,1
521,8.339726366,11.64711996,1
555,24.88060256,12.72914608,1
561,27.97604851,13.10239825,1
588,30.60835294,11.05265534,1
622,28.12458824,15.68997781,1
